Rank,City Name,Total Points,Action Points,Met Share Points
1,Metro Mafia,45747,5510,40237
2,Metro Life Alpha,43341,3222,40119
3,Metro Manors,42092,4894,37198
4,Elite City III,38607,4404,34203
5,Metmordor,16775,1418,15357
6,Metmoria,15338,1396,13942
7,SecondOrder,11601,2144,9457
8,Elite City I,10987,3664,7323
9,Metshire,10965,2688,8277
10,Degen City 2,10441,822,9619
11,C Mercury,9793,1010,8783
12,Goon Squad,9150,2122,7028
13,Metro Life Alpha 2,8082,1436,6646
14,Degen City,7647,1356,6291
15,Metro Estates,7318,524,6794
16,C Mars,7127,1072,6055
17,Metro Towers,6495,610,5885
18,Elite City II,6172,1000,5172
19,C Venus,5447,206,5241
20,Elite City Y,5224,1380,3844
21,C Saturn,4333,308,4025
22,Elite City V,4277,936,3341
23,C Jupiter,4147,50,4097
24,Metroburg,4126,146,3980
25,Misfit City I,3603,556,3047
26,Metro Life,3225,1446,1779
27,BoopCity,3094,1236,1858
28,Elite City X,2377,96,2281
29,New York City,1445,1112,333
